icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,country,trajectory_id,is_spoofed,spoof_category
00801b,ZSAAK,South Africa,1732579200.0,1732579200.0,27.5563,-25.5985,9540.24,False,153.93,297.25,0.0,,10240.24,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579313.0,1732579313.0,27.3963,-25.5261,9753.6,False,162.58,284.48,0.0,,10453.6,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579429.0,1732579429.0,27.3005,-25.641,8564.88,False,212.68,151.7,0.0,,9264.88,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579534.0,1732579534.0,27.4786,-25.743,7254.24,False,200.45,120.71,0.0,,7954.24,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579664.0,1732579664.0,27.6931,-25.8595,5440.68,False,186.25,121.1,0.0,,6140.68,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579781.0,1732579781.0,27.8678,-25.9563,4244.34,False,158.74,121.89,0.0,,4944.34,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732579899.0,1732579899.0,27.9762,-26.078,3657.6,False,136.38,159.92,0.0,,4357.6,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732580005.0,1732580005.0,28.0251,-26.2031,2529.84,False,139.64,163.3,0.0,,3229.84,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732580130.0,1732580130.0,28.0955,-26.3222,2354.58,False,122.18,105.38,0.0,,3054.58,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732580241.0,1732580241.0,28.2052,-26.3056,2362.2,False,97.68,23.59,0.0,,3062.2,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732580311.0,1732580311.0,28.2219,-26.2494,2118.36,False,87.49,15.34,0.0,,2818.36,,False,0,South Africa,00801b_2620436a,0,
00801b,ZSAAK,South Africa,1732580401.0,1732580401.0,28.241,-26.1874,1760.22,False,67.41,15.95,0.0,,2460.2200000000003,,False,0,South Africa,00801b_2620436a,0,
0084e5,ZSBVO,South Africa,1731110400.0,1731110400.0,19.1631,-32.5924,9913.62,False,156.45,178.49,0.0,,10613.62,,False,0,South Africa,0084e5_05cf99db,0,
0084e5,ZSBVO,South Africa,1731110524.0,1731110524.0,19.1682,-32.7738,8831.58,False,173.43,178.47,0.0,,9531.58,,False,0,South Africa,0084e5_05cf99db,0,
0084e5,ZSBVO,South Africa,1731110650.0,1731110650.0,19.1741,-32.9769,7734.3,False,184.73,178.72,0.0,,8434.3,,False,0,South Africa,0084e5_05cf99db,0,
0084e5,ZSBVO,South Africa,1731110777.0,1731110777.0,19.1803,-33.1867,6484.62,False,183.19,178.71,0.0,,7184.62,,False,0,South Africa,0084e5_05cf99db,0,
0084e5,ZSBVO,South Africa,1731110892.0,1731110892.0,19.1856,-33.3723,5349.24,False,177.02,178.67,0.0,,6049.24,,False,0,South Africa,0084e5_05cf99db,0,
0084e5,ZSBVO,South Africa,1731111010.0,1731111010.0,19.1247,-33.5409,4282.44,False,157.64,198.26,0.0,,4982.44,,False,0,South Africa,0084e5_05cf99db,0,
00866d,ZUJCG,South Africa,1730505600.0,1730505600.0,18.5861,-33.7175,487.68,False,47.03,210.21,0.0,,1187.68,,False,0,South Africa,00866d_56ad17a7,0,
00866d,ZUJCG,South Africa,1730505693.0,1730505693.0,18.5584,-33.7495,472.44,False,47.39,200.99,0.0,,1172.44,,False,0,South Africa,00866d_56ad17a7,0,
00866d,ZUJCG,South Africa,1730505828.0,1730505828.0,18.564,-33.7631,327.66,False,46.66,165.96,0.0,,1027.66,,False,0,South Africa,00866d_56ad17a7,0,
00866d,ZUJCG,South Africa,1730505934.0,1730505934.0,18.549,-33.7699,175.26,False,34.05,355.67,0.0,,875.26,,False,0,South Africa,00866d_56ad17a7,0,
00866d,ZUJCG,South Africa,1730505936.0,1730505936.0,18.549,-33.7693,167.64,False,34.05,355.67,0.0,,867.64,,False,0,South Africa,00866d_56ad17a7,0,
008692,KEM901,South Africa,1730419200.0,1730419200.0,28.2852,-26.0528,9151.62,False,191.7,231.1,0.0,,9851.62,,False,0,South Africa,008692_70ad1802,0,
