trajectory_id,icao24,segment_index,n_points,start_time,end_time,is_spoofed,spoof_category
00800a_ad5cf0d8,00800a,0,19,2025-04-20T00:00:00+00:00,2025-04-20T00:35:12+00:00,0,
00801b_2620436a,00801b,0,12,2024-11-26T00:00:00+00:00,2024-11-26T00:20:01+00:00,0,
00802a_9476229f,00802a,0,6,2025-06-08T00:00:00+00:00,2025-06-08T00:08:28+00:00,0,
008080_1fb53b60,008080,0,17,2024-11-14T00:00:00+00:00,2024-11-14T00:31:22+00:00,0,
008080_1b14a2a5,008080,1,17,2024-11-27T00:00:00+00:00,2024-11-27T00:31:22+00:00,0,
008080_c2623b6b,008080,2,17,2025-01-06T00:00:00+00:00,2025-01-06T00:31:22+00:00,0,
008080_5197f69e,008080,3,16,2025-04-05T00:00:00+00:00,2025-04-05T00:29:14+00:00,0,
008080_250ad2b1,008080,4,16,2025-05-11T00:00:00+00:00,2025-05-11T00:29:14+00:00,0,
00808c_fc8471d7,00808c,0,15,2025-06-05T00:00:00+00:00,2025-06-05T00:26:39+00:00,0,
008187_1145fc15,008187,0,5,2025-04-13T00:00:00+00:00,2025-04-13T00:08:49+00:00,0,
0081ef_b7ff4f66,0081ef,0,12,2025-02-12T00:00:00+00:00,2025-02-12T00:21:01+00:00,0,
008256_9de6f91d,008256,0,8,2024-12-26T00:00:00+00:00,2024-12-26T00:12:09+00:00,0,
00827f_f7532eac,00827f,0,9,2024-12-05T00:00:00+00:00,2024-12-05T00:15:59+00:00,0,
00827f_fe861349,00827f,1,9,2024-12-24T00:00:00+00:00,2024-12-24T00:15:59+00:00,0,
0082ab_25d52b3a,0082ab,0,5,2025-03-31T00:00:00+00:00,2025-03-31T00:07:27+00:00,0,
0082ab_359d09cd,0082ab,1,5,2025-04-24T00:00:00+00:00,2025-04-24T00:07:27+00:00,0,
0082ab_1d01b46a,0082ab,2,6,2025-06-12T00:00:00+00:00,2025-06-12T00:09:29+00:00,0,
00830b_b2ce3fa4,00830b,0,7,2025-04-08T00:00:00+00:00,2025-04-08T00:10:34+00:00,0,
00830b_e8844830,00830b,1,7,2025-05-02T00:00:00+00:00,2025-05-02T00:10:34+00:00,0,
008339_89ea2ff1,008339,0,6,2025-06-09T00:00:00+00:00,2025-06-09T00:08:50+00:00,0,
00834c_fc72ebf9,00834c,0,7,2025-06-24T00:00:00+00:00,2025-06-24T00:12:17+00:00,0,
00834d_e5db9849,00834d,0,10,2025-04-21T00:00:00+00:00,2025-04-21T00:17:19+00:00,0,
008364_e96fd55f,008364,0,9,2025-04-29T00:00:00+00:00,2025-04-29T00:15:32+00:00,0,
008364_61178c27,008364,1,9,2025-04-30T00:00:00+00:00,2025-04-30T00:15:32+00:00,0,
008364_7b743724,008364,2,9,2025-05-30T00:00:00+00:00,2025-05-30T00:15:32+00:00,0,
008364_647e3b5f,008364,3,9,2025-06-04T00:00:00+00:00,2025-06-04T00:15:32+00:00,0,
008378_c3e2f3f1,008378,0,8,2025-06-26T00:00:00+00:00,2025-06-26T00:14:20+00:00,0,
00847d_2cc5bbc7,00847d,0,16,2025-04-29T00:00:00+00:00,2025-04-29T00:30:24+00:00,0,
00847d_a91749b6,00847d,1,16,2025-06-07T00:00:00+00:00,2025-06-07T00:30:24+00:00,0,
00847d_57b2e656,00847d,2,16,2025-06-29T00:00:00+00:00,2025-06-29T00:30:24+00:00,0,
0084e5_05cf99db,0084e5,0,6,2024-11-09T00:00:00+00:00,2024-11-09T00:10:10+00:00,0,
0085b8_1b201ac8,0085b8,0,9,2025-01-23T00:00:00+00:00,2025-01-23T00:11:42+00:00,1,Timestamp freeze
00864b_bd003132,00864b,0,9,2025-05-12T00:00:00+00:00,2025-05-12T00:15:29+00:00,0,
00866d_56ad17a7,00866d,0,5,2024-11-02T00:00:00+00:00,2024-11-02T00:05:36+00:00,0,
00866d_4509e9d6,00866d,1,5,2024-11-22T00:00:00+00:00,2024-11-22T00:05:36+00:00,0,
00866d_561cb07e,00866d,2,5,2024-11-28T00:00:00+00:00,2024-11-28T00:05:36+00:00,0,
008692_70ad1802,008692,0,10,2024-11-01T00:00:00+00:00,2024-11-01T00:15:46+00:00,0,
008692_4bf54ad0,008692,1,10,2024-11-23T00:00:00+00:00,2024-11-23T00:15:46+00:00,0,
008692_7e5348e5,008692,2,15,2025-06-01T00:00:00+00:00,2025-06-01T00:28:30+00:00,0,
008692_207f756b,008692,3,15,2025-06-22T00:00:00+00:00,2025-06-22T00:28:30+00:00,0,
008696_2fa6bff5,008696,0,14,2024-11-01T00:00:00+00:00,2024-11-01T00:24:29+00:00,0,
008696_f691bac2,008696,1,14,2025-01-01T00:00:00+00:00,2025-01-01T00:24:29+00:00,0,
008696_75adc56b,008696,2,14,2025-01-05T00:00:00+00:00,2025-01-05T00:24:29+00:00,0,
008696_517d234a,008696,3,14,2025-01-16T00:00:00+00:00,2025-01-16T00:24:29+00:00,0,
008696_c0f01681,008696,4,17,2025-04-14T00:00:00+00:00,2025-04-14T00:31:05+00:00,0,
00869f_b6527d28,00869f,0,9,2024-12-14T00:00:00+00:00,2024-12-14T00:15:03+00:00,1,Altitude increase
00869f_a854156f,00869f,1,9,2024-12-17T00:00:00+00:00,2024-12-17T00:15:03+00:00,0,
0086f6_f9ec12bb,0086f6,0,16,2024-11-30T00:00:00+00:00,2024-11-30T00:27:31+00:00,0,
0086f6_3db777e2,0086f6,1,14,2025-04-15T00:00:00+00:00,2025-04-15T00:25:44+00:00,0,
0086f6_604e6826,0086f6,2,14,2025-05-11T00:00:00+00:00,2025-05-11T00:25:44+00:00,0,
008948_2fe8366a,008948,0,10,2025-05-17T00:00:00+00:00,2025-05-17T00:17:00+00:00,0,
008948_f7bccda5,008948,1,10,2025-06-07T00:00:00+00:00,2025-06-07T00:17:00+00:00,0,
008948_00d328d2,008948,2,6,2025-06-09T00:00:00+00:00,2025-06-09T00:09:37+00:00,0,
008a6d_525bd094,008a6d,0,8,2024-12-07T00:00:00+00:00,2024-12-07T00:12:37+00:00,0,
008a6d_d6d6df8a,008a6d,1,8,2025-01-04T00:00:00+00:00,2025-01-04T00:12:37+00:00,0,
008b25_0c880362,008b25,0,5,2024-12-14T00:00:00+00:00,2024-12-14T00:07:20+00:00,0,
008b25_ccaf15bf,008b25,1,5,2024-12-30T00:00:00+00:00,2024-12-30T00:07:20+00:00,0,
008b25_5e89b883,008b25,2,17,2025-05-20T00:00:00+00:00,2025-05-20T00:31:53+00:00,0,
008b8f_8f9ec078,008b8f,0,12,2025-01-20T00:00:00+00:00,2025-01-20T00:19:49+00:00,0,
