trajectory_id,sample_stratum,analyst_1,analyst_2,analyst_3,full_agreement,majority_label
78092b_1f34df48,not_flagged,Clean,Clean,Clean,True,Clean
8469ec_0b9d5f29,not_flagged,Clean,Clean,Clean,True,Clean
801590_64b5933c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
89611f_ca49c156,not_flagged,Clean,Clean,Clean,True,Clean
885105_fbb31a87,not_flagged,Clean,Clean,Clean,True,Clean
a4380f_6ffb5473,not_flagged,Clean,Clean,Clean,True,Clean
01025e_ec7842fa,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7810e7_7d6c48e1,not_flagged,Clean,Clean,Clean,True,Clean
02a194_40d8f75b,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4a2021_39f165a1,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c66e9_6aa0e381,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
0d0d66_6034aeeb,not_flagged,Clean,Clean,Clean,True,Clean
a44939_d33e8035,not_flagged,Clean,Clean,Clean,True,Clean
75059a_3ebfd298,not_flagged,Clean,Clean,Clean,True,Clean
06a0b3_eae39358,flagged,Spoofed,Clean,Spoofed,False,Spoofed
4b7f5b_33340aa9,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ca740_67a0d1f5,not_flagged,Clean,Clean,Clean,True,Clean
781e52_02564ca7,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
801793_8b8bc26a,not_flagged,Clean,Clean,Clean,True,Clean
a5738b_6681b5cb,not_flagged,Clean,Clean,Clean,True,Clean
aba08a_e1b4ce2e,not_flagged,Clean,Clean,Clean,True,Clean
8960f2_e8e9e341,flagged,Spoofed,Clean,Spoofed,False,Spoofed
e4a06c_ec6bab07,not_flagged,Clean,Clean,Clean,True,Clean
4d4027_8aee5bf0,not_flagged,Clean,Clean,Clean,True,Clean
7812de_f7787b52,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a92b38_4ee337ea,not_flagged,Clean,Clean,Clean,True,Clean
a51958_047b0650,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8a07d5_d715266f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
86d266_2857b53e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
78924e_c51fd17f,flagged,Spoofed,Spoofed,Clean,False,Spoofed
70c122_31c2f48b,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cc573_2395b122,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
781fee_e7f1680b,not_flagged,Clean,Clean,Clean,True,Clean
ac27a6_85268e12,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7c7c9c_76793d9b,not_flagged,Clean,Clean,Clean,True,Clean
781103_1d59a199,not_flagged,Clean,Clean,Clean,True,Clean
3c64a4_5ef72b6c,not_flagged,Clean,Clean,Clean,True,Clean
4a08a5_a6b0ec50,flagged,Spoofed,Clean,Spoofed,False,Spoofed
502d29_05de5e56,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
50031c_e902b508,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c6444_ea9681aa,not_flagged,Clean,Clean,Clean,True,Clean
896213_313249b9,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
89648b_f97b3b0d,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a96f37_a68f46eb,not_flagged,Clean,Clean,Clean,True,Clean
71c305_b6ec71c3,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aae004_e210132b,not_flagged,Clean,Clean,Clean,True,Clean
717cce_e13be7e5,flagged,Spoofed,Clean,Spoofed,False,Spoofed
789254_54540c97,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
84b750_a92191be,not_flagged,Clean,Spoofed,Clean,False,Clean
a2cce3_7f0deb59,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
406a62_b95c72ff,not_flagged,Clean,Clean,Clean,True,Clean
4c8085_cc17d4f7,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4d2382_7d46334a,not_flagged,Clean,Clean,Clean,True,Clean
5084a6_08b02522,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ad2095_b88f4e33,not_flagged,Clean,Clean,Clean,True,Clean
a068fd_9a6fe063,not_flagged,Clean,Clean,Clean,True,Clean
a82a44_f9719c75,not_flagged,Clean,Clean,Clean,True,Clean
403f44_8e40fde4,not_flagged,Clean,Clean,Clean,True,Clean
342398_95ef9138,not_flagged,Clean,Clean,Clean,True,Clean
3009b3_0270059e,not_flagged,Clean,Clean,Clean,True,Clean
4bb212_097c143d,not_flagged,Clean,Clean,Clean,True,Clean
a5e391_129ddc75,not_flagged,Clean,Clean,Clean,True,Clean
48418b_909a6649,not_flagged,Clean,Clean,Clean,True,Clean
a80146_5e598a9b,not_flagged,Clean,Clean,Clean,True,Clean
c05dc3_724fff76,not_flagged,Clean,Clean,Clean,True,Clean
484f12_74a5fdb1,not_flagged,Clean,Clean,Spoofed,False,Clean
4ba956_bf92d32a,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
894076_3dbe5697,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a319e5_e5fd99e0,not_flagged,Clean,Clean,Clean,True,Clean
8017ee_2184a8a2,not_flagged,Clean,Clean,Clean,True,Clean
3c658c_f18ef3d4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
780a4e_219dbd34,flagged,Spoofed,Spoofed,Clean,False,Spoofed
702088_ef2c9cf8,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c4b30_6420b5b7,not_flagged,Clean,Clean,Clean,True,Clean
a080b8_3d7b8b3d,not_flagged,Clean,Clean,Clean,True,Clean
a78794_e94ec791,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ac2836_2fc7002b,not_flagged,Clean,Clean,Clean,True,Clean
88044a_84a157ea,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
406947_4641e52c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
43bc67_832381db,not_flagged,Clean,Clean,Clean,True,Clean
a842e7_5a1f4ee2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4acb02_6fc2b7de,flagged,Spoofed,Clean,Spoofed,False,Spoofed
ad8b18_d9ee9fa2,not_flagged,Clean,Clean,Clean,True,Clean
aca097_f246f36e,not_flagged,Clean,Clean,Clean,True,Clean
888127_bb30d31f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ad50a9_7419cbfa,not_flagged,Clean,Clean,Clean,True,Clean
7c802a_5f30a6dc,not_flagged,Clean,Clean,Clean,True,Clean
acf0d8_b202b825,not_flagged,Clean,Spoofed,Clean,False,Clean
4acb04_a8f54550,not_flagged,Clean,Clean,Clean,True,Clean
485875_a0d0a68c,not_flagged,Clean,Clean,Clean,True,Clean
503e5a_a2f07ff2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ba906_5a5eeba6,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c7a44_15d3277f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4bc8cf_8a85067e,not_flagged,Clean,Clean,Clean,True,Clean
e49821_16152c70,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
461e16_d8d4f226,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a6c044_41b7caaa,not_flagged,Clean,Clean,Clean,True,Clean
7580d5_8495d643,not_flagged,Clean,Clean,Clean,True,Clean
34668b_6e72cb94,not_flagged,Clean,Clean,Clean,True,Clean
896607_115eeca2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
c0656f_0ad84720,not_flagged,Clean,Clean,Clean,True,Clean
76bcc5_02b9df8a,not_flagged,Clean,Clean,Clean,True,Clean
782175_27ed17b4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
abc1ef_925cde68,not_flagged,Clean,Clean,Clean,True,Clean
06a09b_b8d326d5,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
